61	69	12	26	49	46	90	65	56	82	9	7	6	78	75	94	0	17	7	39
58	26	24	15	72	54	63	85	99	15	45	86	89	78	47	5	58	68	68	22
11	43	82	72	42	18	12	30	40	66	57	76	13	44	86	34	44	96	53	94
82	4	66	40	36	23	18	28	31	70	35	31	49	85	28	14	43	52	73	53
42	33	45	32	58	69	72	45	91	12	60	61	14	73	39	6	77	41	35	19
99	83	99	70	31	25	26	27	15	72	91	92	23	0	52	49	58	33	82	66
50	73	37	18	9	73	17	75	46	21	36	2	16	54	53	59	34	75	1	32
43	45	29	18	21	68	38	14	21	89	47	43	58	69	68	26	45	80	60	57
8	50	81	93	35	88	76	68	46	93	14	83	32	50	23	5	43	18	96	41
34	2	54	56	74	93	43	47	85	27	13	53	14	44	24	92	63	35	83	33
92	69	68	27	75	64	11	8	45	63	82	27	84	19	22	5	96	24	19	42
44	28	83	19	80	61	68	88	25	31	41	7	35	63	48	64	34	26	81	9
82	35	1	21	44	85	69	95	21	19	96	39	16	40	88	63	86	48	47	13
95	22	83	14	22	74	91	20	70	57	70	69	43	10	59	9	27	62	74	94
91	72	66	5	35	2	91	94	75	85	78	85	78	67	13	59	51	87	98	69
93	48	24	63	48	26	95	6	81	78	36	24	74	53	21	22	55	77	78	20
83	97	45	85	79	84	90	76	96	0	57	39	63	4	0	43	48	2	56	8
6	85	13	96	49	54	11	25	45	90	3	74	9	78	86	96	3	39	84	64
36	19	9	80	21	96	60	69	53	78	74	53	20	69	13	97	84	48	35	24
73	65	30	5	96	83	30	84	17	4	39	8	18	92	72	87	75	32	75	52
