93	41	72	67	16	50	54	39	64	89	11	54	3	60	90	70	89	4	84	38
66	76	52	49	39	66	34	27	97	26	21	51	73	83	31	32	93	63	89	45
28	91	19	28	92	84	4	57	1	1	98	70	47	36	85	17	89	22	28	49
15	26	42	38	67	59	81	20	29	58	77	26	15	38	9	75	56	23	56	54
62	77	25	95	28	51	4	36	97	13	42	70	34	39	29	2	48	81	61	32
3	84	28	43	24	71	55	8	27	10	60	65	65	73	87	38	0	46	9	16
55	44	22	15	15	7	91	76	9	6	26	74	62	24	50	77	48	82	71	56
95	95	9	87	52	76	4	61	51	91	2	2	71	44	76	59	61	13	27	16
80	78	99	21	83	86	3	41	22	9	90	17	75	53	20	60	34	35	62	38
2	29	24	18	4	24	2	17	48	91	16	35	54	54	76	16	95	88	3	66
73	63	38	41	0	84	26	18	24	15	24	26	51	88	13	50	54	81	16	59
83	86	92	31	93	55	62	20	76	3	65	46	31	95	65	39	91	82	17	19
97	84	93	33	66	89	84	66	40	25	62	13	71	44	83	86	70	6	48	45
21	6	41	20	49	77	94	55	23	74	59	71	64	97	61	98	93	59	65	3
71	96	79	51	40	51	75	87	12	78	68	84	34	71	97	91	42	72	83	88
95	28	43	66	66	91	49	73	82	84	93	11	41	44	74	24	26	90	79	97
2	7	42	44	5	74	36	93	99	70	56	20	75	76	8	42	53	12	84	49
2	1	4	27	85	57	43	90	96	72	64	52	92	85	86	87	85	98	61	91
55	56	74	12	28	72	35	64	35	32	71	14	5	30	95	0	2	14	58	48
30	45	96	26	5	4	28	90	89	21	56	54	51	92	93	46	27	92	99	12
